Word,Query,biden-tinggal-6-suara-pantau-perkembangan-terakhir-hasil-pemilu-as-di-situs-ini,menerka-harga-iphone-12-di-indonesia-bakal-semahal-apa-,hak-spesial-donald-trump-di-twitter-bakal-dicabut-jika-kalah-pemilu,huawei-nova-8-se-meluncur-dengan-fast-charging-66w-ini-harganya,oppo-k7x-meluncur-smartphone-5g-harga-rp-3-jutaan,ponsel-gaming-black-shark-3-turun-harga-di-indonesia,samsung-tak-sengaja-bocorkan-galaxy-note-20-fe-di-situs-resminya,internet-buatan-elon-musk-diuji-coba-kecepatan-download-tembus-160-mbps,inilah-daftar-ponsel-terkencang-oktober-2020-versi-antutu,game-playstation-5-sudah-bisa-dipesan-ini-daftar-harganya
tinggi,0,0,1,0,0,0,0,0,0,1,0
dibandingkan,0,0,1,0,0,0,0,0,0,0,0
kelebihan,0,0,1,0,0,0,0,0,0,0,0
kekurangan,0,0,1,0,0,0,0,0,0,0,0
mata,0,0,1,0,0,0,0,0,0,0,0
para,0,0,1,2,0,0,0,0,1,0,2
pengula,0,0,1,0,0,0,0,0,0,0,0
gadget,0,0,1,0,0,0,0,0,0,0,0
posisi,0,0,1,0,0,0,0,0,0,5,0
smartphon,0,0,1,0,1,0,1,0,0,4,1
termurah,0,0,1,0,0,1,0,0,0,0,0
kini,0,0,1,0,0,0,3,2,0,0,0
diisi,0,0,1,0,0,0,0,0,0,1,0
boleh,0,0,1,0,0,0,0,0,0,0,0
jadi,0,0,1,0,0,0,0,1,0,0,0
banderolnya,0,0,1,0,0,0,0,0,0,0,0
berada,0,0,1,0,0,0,0,0,1,1,0
kisaran,0,0,1,0,0,0,0,0,1,1,0
pro,0,0,8,0,1,0,0,0,0,5,0
max,0,0,4,0,0,0,0,0,0,0,0
peluncurannya,0,0,1,0,0,0,0,0,0,0,0
berbeda,0,0,1,0,0,0,0,0,0,1,0
tidak,0,0,1,0,0,1,1,3,0,0,0
mengalami,0,0,1,0,0,0,1,0,1,0,0
kenaikan,0,0,1,0,0,0,0,0,0,0,0
model,0,0,1,0,0,0,0,0,0,0,0
sebelumnya,0,0,1,0,0,0,0,0,0,1,0
store,0,0,1,0,0,0,0,0,0,0,3
menjual,0,0,1,0,0,0,0,0,0,0,0
dibongkar,0,0,1,0,0,0,0,0,0,0,0
kapasita,0,0,1,0,0,0,0,0,0,0,0
baterai,0,0,1,0,1,1,0,0,0,0,0
terungkap,0,0,1,0,0,0,0,0,0,0,0
sebuah,0,0,0,1,0,1,1,0,0,0,0
kebijakan,0,0,0,4,0,0,0,0,0,0,0
khusu,0,0,0,2,0,0,0,0,0,0,0
berlaku,0,0,0,1,0,0,0,0,0,0,0
bagi,0,0,0,1,0,0,0,0,0,0,0
pemimpin,0,0,0,4,0,0,0,0,0,0,0
seluruh,0,0,0,1,0,0,0,0,1,0,0
penjuru,0,0,0,1,0,0,0,0,0,0,0
dunia,0,0,0,2,0,0,0,0,2,0,0
dimaksud,0,0,0,1,0,0,0,0,0,0,0
melab,0,0,0,1,0,0,0,0,0,0,0
unggahan,0,0,0,2,0,0,1,0,0,0,0
dianggap,0,0,0,2,0,0,0,0,0,0,0
melanggar,0,0,0,4,0,0,0,0,0,0,0
peraturan,0,0,0,2,0,0,0,0,0,0,0
twit,0,0,0,9,0,0,0,0,0,0,0
bernada,0,0,0,1,0,0,0,0,0,0,0
ujaran,0,0,0,1,0,0,0,0,0,0,0
kebencian,0,0,0,1,0,0,0,0,0,0,0
propaganda,0,0,0,1,0,0,0,0,0,0,0
hingga,0,0,0,1,1,1,0,1,2,2,1
hoak,0,0,0,2,0,0,0,0,0,0,0
alih,0,0,0,2,0,0,0,0,0,0,0
dihapu,0,0,0,2,0,0,0,0,0,0,0
apabila,0,0,0,2,0,0,0,1,0,0,0
pengguna,0,0,0,2,0,0,0,0,7,0,0
regul,0,0,0,1,0,0,0,0,0,0,0
mengirimkan,0,0,0,1,0,0,0,0,0,0,0
semacam,0,0,0,1,0,0,0,0,0,0,0
maka,0,0,0,1,0,0,0,0,0,0,0
tersebut,0,0,0,6,1,0,3,2,2,1,4
pale,0,0,0,1,0,0,0,0,0,0,0
parah,0,0,0,1,0,0,0,0,0,0,0
akun,0,0,0,2,0,0,1,0,0,0,2
mereka,0,0,0,1,0,0,0,0,0,0,2
dibekukan,0,0,0,1,0,0,0,0,0,0,0
sendiri,0,0,0,1,0,0,0,0,0,0,0
diberikan,0,0,0,1,0,0,0,0,0,0,0
lantaran,0,0,0,3,0,0,0,0,0,0,0
diunggah,0,0,0,1,0,0,0,0,0,0,0
nilai,0,0,0,1,0,0,0,0,0,0,0
meski,0,0,0,1,0,0,2,1,1,0,1
kontroversi,0,0,0,2,0,0,0,0,0,0,0
nah,0,0,0,2,0,0,0,0,0,0,1
hak,0,0,0,3,0,0,0,0,0,0,0
spesial,0,0,0,2,0,0,0,0,0,0,0
hal,0,0,0,1,0,0,0,0,1,0,0
beberapa,0,0,0,1,0,0,1,1,2,0,1
ditandai,0,0,0,1,0,0,0,0,0,0,0
salah,0,0,0,1,0,1,0,1,0,0,0
satunya,0,0,0,1,0,0,0,0,0,0,0
berikut,0,0,0,1,0,1,0,0,0,0,1
mengklaim,0,0,0,1,0,0,0,0,0,0,0
bahwa,0,0,0,1,0,0,0,3,4,0,0
pihak,0,0,0,1,0,0,0,1,0,0,0
telah,0,0,0,1,0,0,0,1,0,0,0
melakukan,0,0,0,1,0,0,0,1,1,0,0
kecurangan,0,0,0,1,0,0,0,0,0,0,0
big,0,0,0,1,0,0,0,0,0,0,2
tri,0,0,0,1,0,0,0,0,0,0,0
steal,0,0,0,1,0,0,0,0,0,0,0
never,0,0,0,1,0,0,0,0,0,0,0
let,0,0,0,1,0,0,0,0,0,0,0
cast,0,0,0,1,0,0,0,0,0,0,0
poll,0,0,0,1,0,0,0,0,0,0,0
close,0,0,0,1,0,0,0,0,0,0,0
aturan,0,0,0,1,0,0,0,0,0,0,0
main,0,0,0,1,0,0,0,0,0,0,0
berpotensi,0,0,0,1,0,0,0,0,0,0,0
menimbulkan,0,0,0,1,0,0,0,0,0,0,0
perdebatan,0,0,0,1,0,0,0,0,0,0,0
mungkin,0,0,0,1,0,0,0,0,0,0,0
berupa,0,0,0,1,0,0,0,0,0,0,0
tentang,0,0,0,1,0,0,0,0,0,0,0
karena,0,0,0,1,0,0,0,0,0,0,0
masih,0,0,0,2,0,0,1,1,1,2,0
menjadi,0,0,0,1,0,0,2,1,0,0,0
seorang,0,0,0,1,0,0,0,0,1,0,0
jika,0,0,0,1,0,0,0,0,0,0,0
menekan,0,0,0,1,0,0,0,0,0,0,0
tombol,0,0,0,1,0,0,0,0,0,0,2
view,0,0,0,1,0,0,0,0,0,0,0
lihat,0,0,0,1,0,0,0,0,0,0,0
penel,0,0,0,1,0,0,0,0,0,0,0
klaim,0,0,0,1,0,0,0,0,0,0,0
berhasil,0,0,0,1,0,0,0,0,0,0,0
bobol,0,0,0,1,0,0,0,0,0,0,0
password,0,0,0,1,0,0,0,0,0,0,0
jabatan,0,0,0,1,0,0,0,0,0,0,0
diges,0,0,0,1,0,0,0,0,0,0,0
penantangnya,0,0,0,1,0,0,0,0,0,0,0
nya,0,0,0,1,0,0,0,0,0,0,0
follow,0,0,0,1,0,0,0,0,0,0,0
otomati,0,0,0,1,0,0,0,0,0,0,0
tak,0,0,0,1,0,0,0,0,0,0,0
